X (mm),Y (mm),Gore Section
1252.4115632342236,253.8842604919417,10N
1365.74757565002,348.32870455628597,11N
1267.1494342794263,442.7731486206302,10N
1356.6238601486327,353.88426008948284,11N
1257.609011372294,253.8842604919417,10N
1354.7361474305735,337.2175934898924,11N
1361.4836562632638,353.88426008948284,11N
1202.2519172427499,381.6620377554663,10N
1252.150120610816,259.43981602513884,10N
1271.6158314847912,442.7731486206302,10N
1360.8661132612065,348.32870455628597,11N
1262.8064595103654,253.8842604919417,10N
1357.2733509259413,359.43981562267925,11N
1310.0184987334644,353.88426008948284,10N
1291.8027185597732,387.2175932886627,10N
1309.3691180698884,359.43981562267925,10N
1289.1963149843434,409.4398154214498,10N
1249.2996710840932,387.2175932886627,10N
1397.6628913124928,464.99537075341726,11N
1360.2575863345307,342.7731490230891,11N
1293.8205116805148,409.4398154214498,10N
1255.8279705402956,420.5509264878431,10N
1365.1603986717628,342.7731490230891,11N
1284.5721182881723,409.4398154214498,10N
1276.7471150859014,437.2175930874333,10N
1417.372443233491,487.2175928862039,11N
1159.300187271584,342.7731490230891,10N
1362.8339660065974,403.88425988825315,11N
1362.1111322704764,359.43981562267925,11N
1300.298906504201,353.88426008948284,10N
1255.3186354977915,426.10648202104,10N
1279.947921592,409.4398154214498,10N
1256.8269381111425,409.4398154214498,10N
1291.1644651714228,392.77314882185965,10N
1285.015023100887,442.7731486206302,10N
1304.5313367253532,359.43981562267925,10N
1282.9387226168021,381.6620377554663,10N
1277.4042522915188,431.66203755423663,10N
1283.239724983094,259.43981602513884,10N
1263.843163709142,431.66203755423663,10N
1285.7195181603072,353.88426008948284,10N
1298.444708376687,409.4398154214498,10N
1276.0822286901562,442.7731486206302,10N
1358.6024979535716,370.5509266890728,11N
1270.1860146246997,364.99537115587617,10N
1370.6290380388327,348.32870455628597,11N
1268.3635265699343,431.66203755423663,10N
1259.3228008483486,431.66203755423663,10N
1252.6671248559278,403.88425988825315,10N
1248.8782034553717,392.77314882185965,10N
1272.2535768899413,437.2175930874333,10N
1359.6599283821674,337.2175934898924,11N
1267.7600386939812,437.2175930874333,10N
1252.6671093134844,248.32870495874525,10N
1249.714743933369,381.6620377554663,10N
1239.854549422832,387.2175932886627,10N
1368.9602565858413,331.6620379566959,11N
1252.2027414149713,409.4398154214498,10N
1263.266500498021,437.2175930874333,10N
1257.316426753381,403.88425988825315,10N
1262.4734105917144,398.3287043550563,10N
1206.9981999118124,381.6620377554663,10N
1259.8654734210827,426.10648202104,10N
1277.0690445994057,392.77314882185965,10N
1357.9332582391842,364.99537115587617,11N
1432.1135484204565,509.4398150189907,11N
1245.3542674541325,376.1064822222692,10N
1289.481420306252,442.7731486206302,10N
1154.397374934352,342.7731490230891,10N
1267.6720975513952,392.77314882185965,10N
1264.4123113443748,426.10648202104,10N
1280.548625895522,442.7731486206302,10N
1302.6520372501773,276.10648262472876,10N
1275.3237248958287,409.4398154214498,10N
1356.8155234924375,309.4398158239091,11N
1268.6998746096172,381.6620377554663,10N
1355.984650872394,348.32870455628597,11N
1270.9691516810497,448.32870415382706,10N
1270.1274413897036,414.9953709546467,10N
1288.522512547326,414.9953709546467,10N
1295.8629386954278,392.77314882185965,10N
1260.4009315595256,420.5509264878431,10N
1257.7443009438873,337.2175934898924,10N
1266.6150305482886,403.88425988825315,10N
1272.8838894307264,431.66203755423663,10N
1265.3706011232387,364.99537115587617,10N
1264.9056323903324,370.5509266890728,10N
1273.505987190957,426.10648202104,10N
1262.9736240273885,392.77314882185965,10N
1272.3705710754002,392.77314882185965,10N
1266.0753315034863,409.4398154214498,10N
1282.3575968985106,387.2175932886627,10N
1293.0509515220688,376.1064822222692,10N
1256.3311380214864,414.9953709546467,10N
1355.3547739972998,342.7731490230891,11N
1396.9920329059362,459.4398152202204,11N
1258.2751505033834,392.77314882185965,10N
1244.5771102534627,387.2175932886627,10N
1299.6935553808169,359.43981562267925,10N
1362.368840056212,314.9953713571055,11N
1268.959149267666,426.10648202104,10N
1303.8094457279167,403.88425988825315,10N
1278.7419463016877,376.1064822222692,10N
1250.1239358609257,376.1064822222692,10N
1391.9186489194929,453.88425968702353,11N
1254.0222319147251,387.2175932886627,10N
1268.1899144066185,387.2175932886627,10N
1271.2643324457417,403.88425988825315,10N
1143.55979785814,276.10648262472876,10N
1253.1252708084803,398.3287043550563,10N
1261.9657286508343,403.88425988825315,10N
1285.2122381381025,403.88425988825315,10N
1267.1474804833322,398.3287043550563,10N
1283.9237447579203,414.9953709546467,10N
1226.2045868849257,453.88425968702353,10N
1310.6575996390816,348.32870455628597,10N
1261.4511348073138,409.4398154214498,10N
1285.8437600498014,398.3287043550563,10N
1237.536126463376,420.5509264878431,10N
1241.2935336159371,364.99537115587617,10N
1244.2210240324548,314.9953713571055,10N
1264.9738925787562,420.5509264878431,10N
1278.6927756364453,420.5509264878431,10N
1300.5614122194345,392.77314882185965,10N
1277.6350360678798,387.2175932886627,10N
1354.1269685924835,331.6620379566959,11N
1251.2550095210659,420.5509264878431,10N
1257.7993407000974,398.3287043550563,10N
1233.3372990744576,414.9953709546467,10N
1402.0171984809208,464.99537075341726,11N
1255.3201737250884,370.5509266890728,10N
1265.528673600298,414.9953709546467,10N
1274.1198146172155,420.5509264878431,10N
1272.912475237249,387.2175932886627,10N
1387.5076154918474,453.88425968702353,11N
1270.6995281996574,409.4398154214498,10N
1257.3317213395285,259.43981602513884,10N
1271.8215503749493,398.3287043550563,10N
1278.1924399477405,381.6620377554663,10N
1299.160143830463,403.88425988825315,10N
1303.0689050728583,409.4398154214498,10N
1247.2141150961534,253.8842604919417,10N
1260.1129030577104,370.5509266890728,10N
1259.6632726745133,376.1064822222692,10N
1292.4312879549261,381.6620377554663,10N
1197.5056345736882,381.6620377554663,10N
1249.2253383608338,314.9953713571055,10N
1366.9489136150125,359.43981562267925,11N
1257.3564340162116,342.7731490230891,10N
1297.9507620116103,270.5509270915321,10N
1263.9535919405546,381.6620377554663,10N
1264.4329410813066,376.1064822222692,10N
1296.5252793904037,387.2175932886627,10N
1266.5302756939166,448.32870415382706,10N
1370.063211008994,342.7731490230891,11N
1244.1797299313664,392.77314882185965,10N
1288.2812831152753,376.1064822222692,10N
1263.4673535759866,387.2175932886627,10N
1284.6322551290798,364.99537115587617,10N
1364.0158272547224,331.6620379566959,11N
1296.013212472643,348.32870455628597,10N
1236.478120114476,364.99537115587617,10N
1287.6850052858647,381.6620377554663,10N
1275.00142812616,364.99537115587617,10N
1295.1918998330354,398.3287043550563,10N
1297.1775706239875,381.6620377554663,10N
1244.9684612643073,381.6620377554663,10N
1287.0801577291422,387.2175932886627,10N
1275.9136343431949,403.88425988825315,10N
1253.576676979378,392.77314882185965,10N
1274.7262091791088,414.9953709546467,10N
1206.7966236084148,387.2175932886627,10N
1281.1696901581834,398.3287043550563,10N
1269.546853597986,420.5509264878431,10N
1260.9299058108916,414.9953709546467,10N
1273.4461572786788,381.6620377554663,10N
1254.566681575677,309.4398158239091,10N
1392.6091816091257,459.4398152202204,11N
1302.5902883356562,376.1064822222692,10N
1353.5278406004793,326.1064824234991,11N
941.3603028283995,487.2175928862039,9N
1299.8659697246535,398.3287043550563,10N
1269.6983617229553,370.5509266890728,10N
1259.2073092714932,381.6620377554663,10N
1371.2032484925267,353.88426008948284,11N
1280.5629362406482,403.88425988825315,10N
1269.202609488101,376.1064822222692,10N
1311.9253676236697,287.2175936911223,10N
1303.2474670513116,370.5509266890728,10N
1273.824903669724,320.55092689030266,10N
1285.7341914778224,437.2175930874333,10N
1359.0713979236025,331.6620379566959,11N
1254.4610266024315,381.6620377554663,10N
1244.519529826863,309.4398158239091,10N
1274.4910910555775,370.5509266890728,10N
1159.3322655858847,348.32870455628597,10N
1250.7717975745006,426.10648202104,10N
1290.2277296737825,437.2175930874333,10N
1262.6680818954815,337.2175934898924,10N
1178.0223908018374,426.10648202104,10N
1276.4956202665662,398.3287043550563,10N
1154.3449009604067,337.2175934898924,10N
1258.7447927453559,387.2175932886627,10N
1373.5223841598704,414.9953709546467,11N
1308.7093226363825,364.99537115587617,10N
1305.1587026188333,353.88426008948284,10N
1362.9087274864164,320.55092689030266,11N
1179.0660934991583,326.1064824234991,10N
1293.1212803367314,414.9953709546467,10N
1246.9685198821035,259.43981602513884,10N
1293.9478175116176,442.7731486206302,10N
1200.437081853517,253.8842604919417,10N
1279.324976968514,414.9953709546467,10N
1279.8168416276199,364.99537115587617,10N
1226.7768778584407,242.77314942554838,10N
1286.4659916474172,392.77314882185965,10N
1297.8206199288618,376.1064822222692,10N
1301.9238532930503,381.6620377554663,10N
1283.265736655676,420.5509264878431,10N
1225.0808514587761,398.3287043550563,10N
1386.7975605899555,448.32870415382706,11N
1388.2263303123143,459.4398152202204,11N
